Date,Value
189512,22.88
189612,29.51
189712,21.95
189812,12.47
189912,24.81
190012,20.05
190112,22.44
190212,24.82
190312,20.73
190412,28.23
190512,20.36
190612,33.49
190712,28.82
190812,16.98
190912,34.46
191012,14.79
191112,24.42
191212,18.95
191312,21.61
191412,25.56
191512,26.96
191612,26.12
191712,14.22
191812,20.33
191912,18.64
192012,22.94
192112,21.88
192212,24.29
192312,13.61
192412,15.26
192512,19.78
192612,24.16
192712,24.96
192812,17.23
192912,13.34
193012,16.69
193112,22.97
193212,14.79
193312,18.70
193412,17.43
193512,21.16
193612,23.95
193712,27.80
193812,28.67
193912,15.33
194012,32.67
194112,34.86
194212,22.47
194312,22.78
194412,22.30
194512,26.38
194612,16.52
194712,13.17
194812,20.22
194912,15.22
195012,25.94
195112,23.59
195212,27.97
195312,17.19
195412,23.00
195512,23.71
195612,17.85
195712,24.55
195812,27.76
195912,15.21
196012,21.77
196112,16.53
196212,22.10
196312,24.74
196412,22.27
196512,21.98
196612,18.72
196712,23.75
196812,20.37
196912,30.60
197012,27.81
197112,18.24
197212,17.21
197312,28.93
197412,21.35
197512,20.94
197612,11.75
197712,17.53
197812,28.86
197912,24.63
198012,24.12
198112,26.24
198212,31.99
198312,42.46
198412,18.32
198512,14.70
198612,24.25
198712,19.71
198812,17.10
198912,14.95
199012,13.99
199112,19.79
199212,23.23
199312,26.70
199412,17.54
199512,35.20
199612,32.51
199712,20.60
199812,36.41
199912,17.63
200012,21.43
200112,23.02
200212,18.68
200312,21.63
200412,21.76
200512,30.10
200612,23.61
200712,13.84
200812,17.85
200912,17.05
201012,31.18
201112,18.79
201212,23.45
201312,7.93
201412,19.90
201512,15.05
201612,25.73
201712,27.65
