Date,Value
189512,0.87
189612,2.06
189712,-0.03
189812,-2.16
189912,0.51
190012,0.76
190112,1.51
190212,1.12
190312,0.03
190412,1.94
190512,0.74
190612,3.40
190712,3.04
190812,-0.03
190912,0.48
191012,-1.58
191112,0.98
191212,0.61
191312,0.43
191412,0.26
191512,2.23
191612,0.08
191712,-0.45
191812,-2.11
191912,-1.47
192012,0.43
192112,0.39
192212,0.44
192312,0.19
192412,-3.37
192512,0.74
192612,-0.38
192712,1.54
192812,-1.28
192912,-2.07
193012,-1.45
193112,-2.18
193212,-0.66
193312,-0.66
193412,-2.14
193512,-0.04
193612,-0.42
193712,0.23
193812,0.86
193912,-2.03
194012,0.19
194112,3.60
194212,3.15
194312,1.18
194412,0.39
194512,0.80
194612,-1.39
194712,-2.09
194812,0.32
194912,-1.20
195012,-0.79
195112,0.00
195212,2.28
195312,0.52
195412,-0.35
195512,0.09
195612,0.29
195712,0.90
195812,2.80
195912,-3.28
196012,-2.86
196112,-2.09
196212,-0.42
196312,1.30
196412,-0.06
196512,0.64
196612,-1.41
196712,1.68
196812,-0.82
196912,0.25
197012,-0.42
197112,0.27
197212,-0.86
197312,0.34
197412,0.33
197512,0.65
197612,-3.21
197712,-3.25
197812,1.93
197912,0.45
198012,0.71
198112,-1.02
198212,3.45
198312,6.53
198412,-0.66
198512,-1.21
198612,-0.11
198712,-2.99
198812,-2.12
198912,-1.41
199012,-2.99
199112,-2.55
199212,-2.42
199312,1.62
199412,-1.94
199512,4.18
199612,2.46
199712,-0.87
199812,4.64
199912,-0.17
200012,-0.52
200112,-2.42
200212,-2.19
200312,0.25
200412,-0.99
200512,3.08
200612,0.46
200712,-3.77
200812,-3.67
200912,-3.57
201012,1.47
201112,1.71
201212,-1.60
201312,-2.84
201412,-5.76
201512,-4.79
201612,-1.38
201712,-0.06
