Date,Value,Anomaly
189601,26.63,-3.33
189701,29.76,-0.20
189801,29.74,-0.22
189901,29.75,-0.21
190001,27.84,-2.12
190101,30.88,0.92
190201,27.09,-2.87
190301,31.45,1.49
190401,28.90,-1.06
190501,28.32,-1.64
190601,32.95,2.99
190701,33.06,3.10
190801,30.01,0.05
190901,30.72,0.76
191001,30.60,0.64
191101,25.20,-4.76
191201,29.03,-0.93
191301,31.40,1.44
191401,29.47,-0.49
191501,29.06,-0.90
191601,33.81,3.85
191701,27.82,-2.14
191801,25.57,-4.39
191901,28.28,-1.68
192001,32.06,2.10
192101,31.20,1.24
192201,28.70,-1.26
192301,30.30,0.34
192401,31.24,1.28
192501,26.81,-3.15
192601,27.03,-2.93
192701,30.35,0.39
192801,31.57,1.61
192901,30.58,0.62
193001,30.37,0.41
193101,24.56,-5.40
193201,29.21,-0.75
193301,29.44,-0.52
193401,27.07,-2.89
193501,26.37,-3.59
193601,29.96,0.00
193701,28.05,-1.91
193801,28.97,-0.99
193901,30.12,0.16
194001,25.77,-4.19
194101,30.56,0.60
194201,32.31,2.35
194301,31.98,2.02
194401,26.46,-3.50
194501,30.54,0.58
194601,33.77,3.81
194701,30.98,1.02
194801,28.90,-1.06
194901,31.87,1.91
195001,30.50,0.54
195101,29.85,-0.11
195201,31.35,1.39
195301,26.54,-3.42
195401,28.21,-1.75
195501,25.30,-4.66
195601,28.32,-1.64
195701,25.24,-4.72
195801,34.03,4.07
195901,30.13,0.17
196001,30.67,0.71
196101,27.97,-1.99
196201,31.98,2.02
196301,27.96,-2.00
196401,26.56,-3.40
196501,30.17,0.21
196601,29.82,-0.14
196701,27.25,-2.71
196801,29.62,-0.34
196901,31.23,1.27
197001,29.71,-0.25
197101,29.64,-0.32
197201,30.63,0.67
197301,31.85,1.89
197401,35.63,5.67
197501,30.08,0.12
197601,32.18,2.22
197701,26.13,-3.83
197801,32.04,2.08
197901,30.27,0.31
198001,32.09,2.13
198101,26.60,-3.36
198201,31.82,1.86
198301,33.10,3.14
198401,34.03,4.07
198501,31.47,1.51
198601,30.00,0.04
198701,32.10,2.14
198801,28.81,-1.15
198901,25.98,-3.98
199001,29.79,-0.17
199101,31.75,1.79
199201,32.15,2.19
199301,32.38,2.42
199401,31.66,1.70
199501,31.56,1.60
199601,32.33,2.37
199701,33.69,3.73
199801,32.41,2.45
199901,33.66,3.70
200001,27.48,-2.48
200101,27.93,-2.03
200201,29.18,-0.78
200301,28.37,-1.59
200401,31.15,1.19
200501,33.98,4.02
200601,29.99,0.03
200701,29.43,-0.53
200801,29.17,-0.79
200901,30.63,0.67
201001,33.32,3.36
201101,30.40,0.44
201201,30.54,0.58
201301,27.81,-2.15
201401,30.06,0.10
201501,31.31,1.35
201601,34.80,4.84
201701,32.60,2.64
201801,30.89,0.93
