Date,Value
189512,56.5
189612,57.5
189712,56.5
189812,56.7
189912,56.6
190012,57.5
190112,57.2
190212,56.2
190312,56.2
190412,57.4
190512,57.1
190612,57.2
190712,56.5
190812,56.2
190912,56.2
191012,57.7
191112,55.4
191212,55.5
191312,56.4
191412,57.4
191512,56.7
191612,55.6
191712,56.6
191812,56.8
191912,56.3
192012,56.1
192112,57.3
192212,56.1
192312,56.4
192412,57.1
192512,57.1
192612,58.8
192712,56.9
192812,57.7
192912,57.2
193012,56.9
193112,58.3
193212,56.9
193312,56.7
193412,59.7
193512,56.8
193612,58.6
193712,57.2
193812,57.2
193912,58.3
194012,58.8
194112,57.1
194212,57.0
194312,57.8
194412,56.2
194512,57.1
194612,56.7
194712,57.6
194812,55.6
194912,56.2
195012,58.1
195112,57.2
195212,56.8
195312,57.2
195412,57.6
195512,56.2
195612,57.0
195712,57.1
195812,58.9
195912,59.0
196012,58.0
196112,57.8
196212,57.4
196312,57.1
196412,56.6
196512,56.7
196612,58.0
196712,57.5
196812,57.6
196912,57.5
197012,57.8
197112,56.2
197212,57.3
197312,57.3
197412,57.6
197512,56.3
197612,57.5
197712,58.0
197812,57.6
197912,57.7
198012,58.1
198112,59.3
198212,56.3
198312,57.6
198412,58.2
198512,57.3
198612,58.9
198712,58.3
198812,58.7
198912,58.1
199012,58.0
199112,58.1
199212,59.3
199312,57.7
199412,58.0
199512,58.9
199612,59.6
199712,59.1
199812,56.7
199912,58.0
200012,58.8
200112,59.1
200212,58.8
200312,59.4
200412,58.9
200512,58.6
200612,58.6
200712,58.9
200812,58.9
200912,58.8
201012,57.7
201112,57.4
201212,59.5
201312,59.3
201412,61.4
201512,60.8
201612,60.1
201712,60.3
