ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20180515,CA,30.49,69.51,37.15,20.83,2.80,0.00,2018-05-15,2018-05-21,1
20180508,CA,34.19,65.81,37.10,13.99,2.80,0.00,2018-05-08,2018-05-14,1
20180501,CA,34.10,65.90,37.10,13.99,2.80,0.00,2018-05-01,2018-05-07,1
20180424,CA,34.10,65.90,37.10,13.77,2.55,0.00,2018-04-24,2018-04-30,1
20180417,CA,34.10,65.90,37.10,13.77,2.50,0.00,2018-04-17,2018-04-23,1
20180410,CA,33.85,66.15,37.10,13.77,2.50,0.00,2018-04-10,2018-04-16,1
20180403,CA,22.99,77.01,40.90,12.72,2.50,0.00,2018-04-03,2018-04-09,1
20180327,CA,22.99,77.01,40.77,12.56,2.50,0.00,2018-03-27,2018-04-02,1
20180320,CA,11.08,88.92,47.68,22.31,0.43,0.00,2018-03-20,2018-03-26,1
20180313,CA,11.08,88.92,47.68,22.31,0.43,0.00,2018-03-13,2018-03-19,1
20180306,CA,8.48,91.52,47.87,22.40,0.43,0.00,2018-03-06,2018-03-12,1
20180227,CA,8.48,91.52,47.87,19.98,0.00,0.00,2018-02-27,2018-03-05,1
20180220,CA,8.43,91.57,47.87,19.98,0.00,0.00,2018-02-20,2018-02-26,1
20180213,CA,18.29,81.71,45.71,19.98,0.00,0.00,2018-02-13,2018-02-19,1
20180206,CA,18.27,81.73,45.60,6.39,0.00,0.00,2018-02-06,2018-02-12,1
20180130,CA,26.67,73.33,43.72,4.92,0.00,0.00,2018-01-30,2018-02-05,1
20180123,CA,45.48,54.52,12.69,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,CA,53.21,46.79,12.69,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,CA,53.58,46.42,12.69,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,CA,55.70,44.30,12.69,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,CA,55.70,44.30,12.69,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,CA,55.70,44.30,12.69,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,CA,55.70,44.30,9.90,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,CA,65.38,34.62,9.90,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,CA,69.09,30.91,8.24,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,CA,73.98,26.02,8.24,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,CA,73.98,26.02,8.24,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,CA,77.90,22.10,8.24,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,CA,77.90,22.10,8.24,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,CA,77.90,22.10,8.24,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,CA,77.88,22.12,8.24,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-09-19,2017-09-25,1
20170912,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-09-12,2017-09-18,1
20170905,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-09-05,2017-09-11,1
20170829,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-08-29,2017-09-04,1
20170822,CA,77.88,22.12,8.24,0.04,0.00,0.00,2017-08-22,2017-08-28,1
20170815,CA,77.86,22.14,8.24,0.04,0.00,0.00,2017-08-15,2017-08-21,1
20170808,CA,77.86,22.14,8.24,1.06,0.00,0.00,2017-08-08,2017-08-14,1
20170801,CA,77.86,22.14,8.24,1.06,0.00,0.00,2017-08-01,2017-08-07,1
20170725,CA,75.73,24.27,8.24,1.06,0.00,0.00,2017-07-25,2017-07-31,1
20170718,CA,75.69,24.31,8.24,1.06,0.00,0.00,2017-07-18,2017-07-24,1
20170711,CA,76.46,23.54,8.24,1.06,0.00,0.00,2017-07-11,2017-07-17,1
20170704,CA,76.46,23.54,8.24,1.06,0.00,0.00,2017-07-04,2017-07-10,1
20170627,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-27,2017-07-03,1
20170620,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-20,2017-06-26,1
20170613,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-13,2017-06-19,1
20170606,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-06-06,2017-06-12,1
20170530,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-30,2017-06-05,1
20170523,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-23,2017-05-29,1
20170516,CA,76.47,23.53,8.24,1.06,0.00,0.00,2017-05-16,2017-05-22,1
