Date,Value
189512,-0.67
189612,0.55
189712,1.54
189812,-0.92
189912,1.85
190012,1.70
190112,1.25
190212,1.58
190312,1.57
190412,-0.28
190512,-0.04
190612,0.42
190712,-0.28
190812,-0.19
190912,-0.60
191012,-0.66
191112,-0.48
191212,0.64
191312,0.35
191412,-0.50
191512,-0.54
191612,1.48
191712,-0.19
191812,-0.21
191912,-0.26
192012,0.53
192112,2.22
192212,-1.76
192312,-0.26
192412,-2.61
192512,-2.49
192612,-2.14
192712,0.52
192812,-1.43
192912,-3.70
193012,-3.89
193112,-1.41
193212,0.09
193312,1.08
193412,-0.64
193512,-1.43
193612,-0.40
193712,1.40
193812,-1.76
193912,-3.18
194012,-2.17
194112,-0.51
194212,-0.19
194312,-0.30
194412,-2.83
194512,0.06
194612,0.41
194712,0.09
194812,3.07
194912,-0.54
195012,2.08
195112,0.38
195212,-1.73
195312,1.52
195412,1.37
195512,1.24
195612,0.46
195712,-0.19
195812,-0.56
195912,1.59
196012,0.27
196112,0.27
196212,0.12
196312,-0.19
196412,0.44
196512,-1.09
196612,-0.86
196712,-0.25
196812,1.22
196912,-0.75
197012,-0.91
197112,1.70
197212,2.17
197312,-1.16
197412,1.70
197512,0.60
197612,0.59
197712,-0.94
197812,-0.04
197912,-2.06
198012,0.70
198112,1.14
198212,1.98
198312,2.42
198412,2.35
198512,-2.07
198612,-1.40
198712,-2.33
198812,-2.03
198912,-1.43
199012,1.22
199112,0.70
199212,-2.65
199312,-0.71
199412,-1.58
199512,1.17
199612,2.72
199712,3.61
199812,-0.50
199912,1.78
200012,-0.37
200112,-0.57
200212,-0.28
200312,-1.03
200412,-1.90
200512,-0.27
200612,-0.17
200712,-0.80
200812,-1.16
200912,-1.06
201012,1.24
201112,1.63
201212,1.93
201312,-0.07
201412,0.17
201512,-1.75
201612,0.20
201712,0.42
