Date,Value
189512,35.76
189612,49.17
189712,50.59
189812,35.08
189912,52.08
190012,45.41
190112,42.07
190212,50.52
190312,42.65
190412,45.45
190512,39.66
190612,45.71
190712,40.24
190812,37.32
190912,44.44
191012,43.18
191112,33.92
191212,43.64
191312,37.28
191412,39.82
191512,42.21
191612,43.37
191712,43.05
191812,40.15
191912,40.36
192012,43.87
192112,49.14
192212,32.71
192312,39.14
192412,36.95
192512,35.48
192612,38.23
192712,45.67
192812,34.16
192912,26.00
193012,28.86
193112,43.34
193212,47.78
193312,53.44
193412,43.57
193512,32.68
193612,36.95
193712,49.88
193812,33.76
193912,35.86
194012,42.22
194112,40.07
194212,38.66
194312,32.65
194412,30.31
194512,46.34
194612,43.68
194712,41.80
194812,53.45
194912,38.69
195012,54.17
195112,45.45
195212,27.81
195312,50.84
195412,45.22
195512,48.92
195612,42.99
195712,39.21
195812,46.37
195912,46.77
196012,42.38
196112,48.75
196212,40.23
196312,39.34
196412,45.11
196512,36.53
196612,41.66
196712,42.83
196812,49.96
196912,37.24
197012,42.24
197112,48.87
197212,49.95
197312,41.42
197412,47.30
197512,50.93
197612,33.18
197712,41.56
197812,35.99
197912,38.21
198012,44.74
198112,43.80
198212,47.39
198312,51.84
198412,46.97
198512,29.99
198612,41.63
198712,34.39
198812,39.95
198912,36.56
199012,50.93
199112,40.48
199212,37.13
199312,33.68
199412,42.51
199512,51.09
199612,54.95
199712,51.07
199812,48.61
199912,49.30
200012,34.21
200112,39.16
200212,36.51
200312,43.48
200412,37.65
200512,38.64
200612,50.26
200712,40.24
200812,37.39
200912,39.90
201012,47.33
201112,43.82
201212,52.87
201312,35.68
201412,48.81
201512,43.25
201612,49.14
201712,48.74
