Date,Rank
Nov-05,13
Dec-05,13
Jan-06,20
Feb-06,16
Mar-06,21
Apr-06,24
May-06,23
Jun-06,26
Jul-06,26
Aug-06,22
Sep-06,16
Oct-06,13
Nov-06,12
Dec-06,10
Jan-07,13
Feb-07,12
Mar-07,29
Apr-07,90
May-07,92
Jun-07,79
Jul-07,59
Aug-07,51
Sep-07,46
Oct-07,97
Nov-07,94
Dec-07,63
Jan-08,49
Feb-08,46
Mar-08,49
Apr-08,54
May-08,42
Jun-08,39
Jul-08,33
Aug-08,32
Sep-08,27
Oct-08,25
Nov-08,37
Dec-08,42
Jan-09,33
Feb-09,36
Mar-09,36
Apr-09,33
May-09,37
Jun-09,26
Jul-09,27
Aug-09,24
Sep-09,26
Oct-09,25
Nov-09,18
Dec-09,17
Jan-10,18
Feb-10,34
Mar-10,25
Apr-10,25
May-10,21
Jun-10,19
Jul-10,18
Aug-10,21
Sep-10,18
Oct-10,17
Nov-10,15
Dec-10,14
Jan-11,15
Feb-11,17
Mar-11,20
Apr-11,24
May-11,27
Jun-11,28
Jul-11,37
Aug-11,47
Sep-11,36
Oct-11,25
Nov-11,22
Dec-11,17
Jan-12,20
Feb-12,23
Mar-12,25
Apr-12,24
May-12,25
Jun-12,33
Jul-12,83
Aug-12,60
Sep-12,36
Oct-12,22
Nov-12,19
Dec-12,18
Jan-13,22
Feb-13,23
Mar-13,24
Apr-13,30
May-13,29
Jun-13,24
Jul-13,23
Aug-13,20
Sep-13,23
Oct-13,19
Nov-13,16
Dec-13,16
Jan-14,47
Feb-14,60
Mar-14,36
Apr-14,35
May-14,41
Jun-14,31
Jul-14,37
Aug-14,57
Sep-14,47
Oct-14,39
Nov-14,30
Dec-14,39
Jan-15,26
Feb-15,34
Mar-15,49
Apr-15,100
May-15,95
Jun-15,69
Jul-15,59
Aug-15,58
Sep-15,56
Oct-15,54
Nov-15,41
Dec-15,38
Jan-16,41
Feb-16,33
Mar-16,43
Apr-16,42
May-16,48
Jun-16,39
Jul-16,35
Aug-16,32
Sep-16,33
Oct-16,41
Nov-16,48
Dec-16,30
Jan-17,82
Feb-17,73
Mar-17,42
Apr-17,40
May-17,33
Jun-17,25
Jul-17,22
Aug-17,22
Sep-17,23
Oct-17,22
Nov-17,19
Dec-17,19
Jan-18,25
Feb-18,31
Mar-18,31
Apr-18,31
May-18,30
